logistic_region,origin_uuid,origin_name,origin_latitude,origin_longitude,Pedidos
ABC,a0c83219-49a8-4b96-b0fb-2c0d92b85efc,MAX ATACADISTA SANTO ANDRE,-23.656076,-46.507738,170
ABC,4a349506-1f9b-4aa3-a45e-07c6b5230539,JOANIN - LOJA 23 - SANTA MARIA,-23.631816,-46.552514,166
ABC,86004329-1d9c-4157-b46c-eb7a22f6e348,EXPRESS BY LINO | SANTO ANDRE,-23.663462,-46.538671,152
ABC,07dc3400-0106-4312-950c-84b1cf5243f6,JOANIN - LOJA 19 - SANTO ANDRE,-23.671296,-46.485454,146
ABC,e268c4d0-f91f-431c-b9a3-117699bcfedb,SUPERMERCADO DENISE,-23.719924,-46.525656,140
ABC,a0c83219-49a8-4b96-b0fb-2c0d92b85efc,MAX ATACADISTA SANTO ANDRE,-23.655458,-46.507876,136
ABC,59fc2d85-2285-4f31-a008-1d0cc48d6786,EXPRESS BY CIZI | SAO BERNARDO DO CAMPO,-23.692294,-46.560132,136
ABC,caae9010-a71c-4c59-9205-cf774df4df36,BARATEIRO - RUDGE RAMOS,-23.65523,-46.572024,134
ABC,14e5f9dc-6ac6-43e4-bf1f-264f92ae02c5,BARATEIRO - VILA GILDA,-23.672413,-46.539962,125
ABC,f7edd423-9660-4b9d-a978-b88a14f177c9,MINI EXTRA - ROBERT KENNEDY,-23.721018,-46.574096,124
ABC,130307fe-2f04-42e9-9492-fe5bc73657d9,DOGS DAY PET SHOP - SAO CAETANO,-23.629515,-46.566588,123
ABC,b149e9da-e409-43da-ac39-c07c82b00760,BARATEIRO - SANTO ANDRE,-23.648637,-46.540189,113
ABC,09e318fd-5765-4fd9-a0de-94f533b8c6b1,EXTRA - SANTO ANDRE,-23.647116,-46.534027,102
ABC,167a270d-cc9c-4497-b6a7-d63b7511c71e,BREEDS - SANTO ANDRE,-23.64057,-46.541295,94
ABC,1d9d161d-0fad-48f0-be6b-73fe371fa097,PETZ JOAO FIRMINO,-23.719369,-46.561899,94
ABC,d4fe7bc2-c5a5-46a0-9b7b-5f8124c8d8fe,HIROTA FOOD - SAO BERNARDO,-23.712871,-46.547556,94
ABC,e5c8c3a8-072d-4870-87be-69bdeb125905,COBASI PET FACIL - SAO BERNARDO,-23.71666,-46.551354,91
ABC,083285b1-eda1-4f69-bd74-85124297f57f,COBASI - SAO CAETANO,-23.625216,-46.581701,89
ABC,14e5f9dc-6ac6-43e4-bf1f-264f92ae02c5,BARATEIRO - VILA GILDA,-23.672549,-46.540074,89
ABC,b54d301b-cf1a-4909-a696-50e89eb46ae3,HIROTA FOOD - SAO CAETANO,-23.618625,-46.569799,85
ABC,c0c2f351-1341-4617-ad70-35ec3c9ee85d,PET SHOP DR. HATO - DOM PEDRO,-23.629268,-46.548422,83
ABC,e0fe4083-53fc-4d0a-9088-be9f3e042586,COBASI - DIADEMA,-23.684426,-46.630337,78
ABC,35045192-1db4-447d-b5bc-5dc3f022f43d,BARATEIRO - SC BOA VISTA,-23.64282,-46.56072,77
ABC,3838a329-7c61-4281-b6d9-67d50f252c4e,RICOY - CAMPO GRANDE 23,-23.691882,-46.677098,72
ABC,b7a60184-49a4-493c-8808-4500c7d3195b,PETLOVE - PORTUGAL,-23.66255,-46.532755,71
ABC,169a4a1d-c1d5-45b4-88af-a9671dbf6b69,COBASI - SANTO ANDRE,-23.649694,-46.522919,70
